name,sport,nationality,sex,date_of_birth,age (at start of games),height,weight
Gilvan Bitencourt Ribeiro,canoe,BRA,male,08/05/1989,27.3,1.8,83
Pedro Luiz de Oliveira,athletics,BRA,male,17/02/1992,24.5,1.8,83
Martin Fuksa,canoe,CZE,male,30/04/1993,23.3,1.8,83
Jorge Carrera,hockey,ESP,male,12/06/1982,34.2,1.8,83
Jean-Charles Valladont,archery,FRA,male,20/03/1989,27.4,1.8,83
Oliver Lindsay-Hague,rugby sevens,GBR,male,08/10/1990,25.8,1.8,83
Mojtaba Abedini,fencing,IRI,male,11/08/1984,32,1.8,83
Sergey Richter,shooting,ISR,male,23/04/1989,27.3,1.8,83
Ethan Mitchell,cycling,NZL,male,19/02/1991,25.5,1.8,83
Yen-Hsun Lu,tennis,TPE,male,14/08/1983,33,1.8,83
Gi Jung Kim,badminton,KOR,male,14/08/1990,26,1.79,83
Glenn Snyders,aquatics,NZL,male,07/04/1987,29.4,1.79,83
Lalonde Gordon,athletics,TTO,male,25/11/1988,27.7,1.79,83
Gonzalo Molina,cycling,ARG,male,05/05/1995,21.3,1.78,83
Kelly Russell,rugby sevens,CAN,female,07/12/1986,29.7,1.78,83
Donglun Song,aquatics,CHN,female,28/04/1991,25.3,1.78,83
Eric Delaunay,shooting,FRA,male,04/12/1987,28.7,1.78,83
Jeremy Aicardi,rugby sevens,FRA,male,26/11/1988,27.7,1.78,83
Natalia Stratulat,athletics,MDA,female,24/07/1987,29.1,1.78,83
Mink van der Weerden,hockey,NED,male,19/10/1988,27.8,1.78,83
Edgar Crespo,aquatics,PAN,male,11/05/1989,27.3,1.78,83
Vladimir Isakov,shooting,RUS,male,28/02/1970,46.5,1.78,83
Emil Milev,shooting,USA,male,02/05/1968,48.3,1.78,83
Eugene Magee,hockey,IRL,male,01/04/1986,30.4,1.77,83
Yuriy Yurkov,shooting,KAZ,male,11/03/1983,33.4,1.76,83
Matthew Emmons,shooting,USA,male,05/04/1981,35.4,1.76,83
Serik Mirbekov,canoe,UZB,male,09/06/1988,28.2,1.76,83
Pablo Fontes,rugby sevens,ESP,male,25/12/1995,20.6,1.75,83
Ryan Gregson,athletics,AUS,male,26/04/1990,26.3,1.74,83
Sven Maresch,judo,GER,male,19/01/1987,29.6,1.73,83
Felipe Claro,rugby sevens,BRA,male,28/02/1986,30.5,1.72,83
Angel Lopez,rugby sevens,ESP,male,16/01/1992,24.6,1.72,83
Laszlo Csoknyai,judo,HUN,male,25/10/1987,28.8,1.72,83
Edson Isaias Freitas da Silva,canoe,BRA,male,25/03/1982,34.4,1.7,83
Pilar Shimizu,aquatics,GUM,female,27/05/1996,20.2,1.68,83
Jaimee Lovett,canoe,NZL,female,05/05/1988,28.3,1.67,83
Kimberly Rhode,shooting,USA,female,16/07/1979,37.1,1.63,83
Daria Malygina,volleyball,RUS,female,04/04/1994,22.4,2.02,82
Javier Culson,athletics,PUR,male,25/07/1984,32.1,2,82
Matthew Stanley,aquatics,NZL,male,15/01/1992,24.6,1.98,82
Thanasi Kokkinakis,tennis,AUS,male,10/04/1996,20.3,1.96,82
Jovana Brakocevic,volleyball,SRB,female,05/03/1988,28.4,1.96,82
Lukas Rosol,tennis,CZE,male,24/07/1985,31.1,1.95,82
Sungyun Gu,football,KOR,male,27/06/1994,22.1,1.95,82
Rafal Omelko,athletics,POL,male,16/01/1989,27.6,1.94,82
Maksim Niastsiarenka,athletics,BLR,male,01/09/1992,23.9,1.93,82
Lubomir Jancarik,table tennis,CZE,male,17/08/1987,29,1.93,82
Juan-Carlos Navarro,basketball,ESP,male,13/06/1980,36.2,1.93,82
Ricky Rubio,basketball,ESP,male,21/10/1990,25.8,1.93,82
Johannes Hintze,aquatics,GER,male,05/07/1999,17.1,1.93,82
Andras Redli,fencing,HUN,male,21/10/1983,32.8,1.93,82
Jonty Evans,equestrian,IRL,male,04/10/1971,44.9,1.93,82
Jan Switkowski,aquatics,POL,male,23/01/1994,22.5,1.93,82
Tijana Boskovic,volleyball,SRB,female,08/03/1997,19.4,1.93,82
Demian Gonzalez,volleyball,ARG,male,21/02/1983,33.5,1.92,82
Anastasiya Verameyenka,basketball,BLR,female,10/07/1987,29.1,1.92,82
Raulzinho Neto,basketball,BRA,male,19/05/1992,24.2,1.92,82
Hugo Gonzalez de Oliveira,aquatics,ESP,male,19/02/1999,17.5,1.92,82
Davie Selke,football,GER,male,20/01/1995,21.6,1.92,82
David Adley Smith Ii,athletics,PUR,male,02/05/1992,24.3,1.92,82
Aleksei Brianskii,aquatics,RUS,male,14/09/1997,18.9,1.92,82
Leevan Sands,athletics,BAH,male,16/08/1981,35,1.91,82
Casper von Folsach,cycling,DEN,male,30/03/1993,23.4,1.91,82
Ibrahim Elmasry,handball,EGY,male,11/03/1989,27.4,1.91,82
Tahir Guelec,taekwondo,GER,male,25/02/1993,23.5,1.91,82
Muhammad Halim,athletics,ISV,male,26/10/1986,29.8,1.91,82
Dimitrije Grgic,shooting,SRB,male,22/06/1984,32.1,1.91,82
Michelle Plouffe,basketball,CAN,female,15/09/1992,23.9,1.9,82
Sijing Huang,basketball,CHN,female,08/01/1996,20.6,1.9,82
Karl-Martin Rammo,sailing,EST,male,06/06/1989,27.2,1.9,82
Nicolas Mahut,tennis,FRA,male,21/01/1982,34.6,1.9,82
Remi Garsau,aquatics,FRA,male,19/07/1984,32.1,1.9,82
Bradley Wiggins,cycling,GBR,male,28/04/1980,36.3,1.9,82
Hyunjun Suk,football,KOR,male,29/06/1991,25.1,1.9,82
Jesus Rangel,volleyball,MEX,male,20/09/1980,35.9,1.9,82
Denys Molchanov,tennis,UKR,male,16/05/1987,29.2,1.9,82
Mykhailo Romanchuk,aquatics,UKR,male,07/08/1996,20,1.9,82
Pascal Gregor,football,DEN,male,18/02/1994,22.5,1.89,82
Inaki Aguilar Vicente,aquatics,ESP,male,09/09/1983,32.9,1.89,82
Theophile Onfroy,rowing,FRA,male,29/12/1992,23.6,1.89,82
Stefanos Dimitriadis,aquatics,GRE,male,08/09/1989,26.9,1.89,82
Femke Stoltenborg,volleyball,NED,female,30/07/1991,25,1.89,82
Ash Southern,aquatics,AUS,female,22/10/1992,23.8,1.88,82
Thomaz Bellucci,tennis,BRA,male,30/12/1987,28.6,1.88,82
Chen Xu,badminton,CHN,male,29/11/1984,31.7,1.88,82
David Ames,hockey,GBR,male,25/06/1989,27.1,1.88,82
Karsten Dilla,athletics,GER,male,17/07/1989,27.1,1.88,82
Jonatan Hajdu,canoe,HUN,male,28/06/1996,20.1,1.88,82
Michele Santucci,aquatics,ITA,male,30/05/1989,27.2,1.88,82
Pietro Zucchetti,sailing,ITA,male,25/01/1981,35.6,1.88,82
Damar Forbes,athletics,JAM,male,11/09/1990,25.9,1.88,82
Billy Bakker,hockey,NED,male,23/11/1988,27.7,1.88,82
Santiago Grassi,aquatics,ARG,male,25/09/1996,19.9,1.87,82
Shawnacy Barber,athletics,CAN,male,27/05/1994,22.2,1.87,82
Milan Trajkovic,athletics,CYP,male,17/09/1992,23.9,1.87,82
Victor Martin Martin,aquatics,ESP,male,25/09/1993,22.9,1.87,82
Paul Gleghorne,hockey,IRL,male,11/04/1987,29.3,1.87,82
Eyglo Gustafsdottir,aquatics,ISL,female,01/02/1995,21.5,1.87,82
Francesco Marrai,sailing,ITA,male,04/02/1993,23.5,1.87,82
Luca Marin,aquatics,ITA,male,09/04/1986,30.3,1.87,82
Laurent Carnol,aquatics,LUX,male,17/10/1989,26.8,1.87,82
Dmytro Oseledets,aquatics,UKR,male,23/11/1994,21.7,1.87,82
Luca Masso,hockey,ARG,male,17/07/1994,22.1,1.86,82
Simon Orchard,hockey,AUS,male,09/07/1986,30.1,1.86,82
Thomas van der Plaetsen,athletics,BEL,male,24/12/1990,25.6,1.86,82
Yehia Elderaa,handball,EGY,male,17/07/1995,21.1,1.86,82
Masatoshi Kushibiki,football,JPN,male,29/01/1993,23.5,1.86,82
Marina Marghieva-Nikisenko,athletics,MDA,female,28/06/1986,30.1,1.86,82
Peter Burling,sailing,NZL,male,01/01/1991,25.6,1.86,82
Linnea Torstensson,handball,SWE,female,30/03/1983,33.4,1.86,82
Thomas Barrows,sailing,USA,male,02/11/1987,28.8,1.86,82
John Porch,rugby sevens,AUS,male,04/03/1994,22.4,1.85,82
Alexander Hendrickx,hockey,BEL,male,06/08/1993,23,1.85,82
Martin Giuffre,badminton,CAN,male,05/10/1990,25.9,1.85,82
Chao Xu,cycling,CHN,male,05/11/1994,21.8,1.85,82
Thibaut Amani Danho,aquatics,CIV,male,15/01/1994,22.6,1.85,82
Juan-Sebastian Cabal,tennis,COL,male,25/04/1986,30.3,1.85,82
Mario Todorovic,aquatics,CRO,male,11/10/1988,27.8,1.85,82
Julian Brandt,football,GER,male,02/05/1996,20.3,1.85,82
Adel Mojallalimoghadam,canoe,IRI,male,21/03/1993,23.4,1.85,82
Salvatore Rossini,volleyball,ITA,male,13/07/1986,30.1,1.85,82
Andrew Riley,athletics,JAM,male,06/09/1988,27.9,1.85,82
Gustavo Lima,sailing,POR,male,13/07/1977,39.1,1.85,82
Mame Marie Sy,basketball,SEN,female,25/03/1985,31.4,1.85,82
Malek Jaziri,tennis,TUN,male,20/01/1984,32.6,1.85,82
David Morgan,aquatics,AUS,male,01/01/1994,22.6,1.84,82
Omar Andres Pinzon Garcia,aquatics,COL,male,17/06/1989,27.2,1.84,82
Jan Kudlicka,athletics,CZE,male,29/04/1988,28.3,1.84,82
Marcus Walz,canoe,ESP,male,03/10/1994,21.9,1.84,82
Christian Guenter,football,GER,male,28/02/1993,23.4,1.84,82
Aldo Montano,fencing,ITA,male,18/11/1978,37.7,1.84,82
Takuro Fujii,aquatics,JPN,male,21/04/1985,31.3,1.84,82
Justinas Kinderis,modern pentathlon,LTU,male,24/05/1987,29.2,1.84,82
Carlos Salcedo,football,MEX,male,29/09/1993,22.9,1.84,82
Yanic Gentry Torfer,sailing,MEX,male,20/02/1991,25.5,1.84,82
Lucien Cujean,sailing,SUI,male,16/08/1989,27,1.84,82
Jesper Stalheim,sailing,SWE,male,23/03/1988,28.4,1.84,82
Holly Lincoln-Smith,aquatics,AUS,female,26/03/1988,28.4,1.83,82
Scott Hend,golf,AUS,male,15/08/1973,43,1.83,82
Martin Schaefer,rugby sevens,BRA,male,18/10/1989,26.8,1.83,82
Roberto Maehler,canoe,BRA,male,25/01/1985,31.5,1.83,82
Vinicius Antonelli,aquatics,BRA,male,01/03/1990,26.4,1.83,82
Pavlos Kontides,sailing,CYP,male,11/02/1990,26.5,1.83,82
Viktor Teply,sailing,CZE,male,19/10/1990,25.8,1.83,82
Roope Kakko,golf,FIN,male,13/02/1982,34.5,1.83,82
Matyas Szabo,fencing,GER,male,19/08/1991,25,1.83,82
Benjamin Vadnai,sailing,HUN,male,30/12/1995,20.6,1.83,82
Hendra Setiawan,badminton,INA,male,25/08/1984,32,1.83,82
Deuce Carter,athletics,JAM,male,28/09/1990,25.9,1.83,82
Dmitriy Koblov,athletics,KAZ,male,30/11/1992,23.7,1.83,82
Edzus Treimanis,cycling,LAT,male,21/04/1988,28.3,1.83,82
Yusuf Bala,football,NGR,male,22/12/1996,19.6,1.83,82
Kacper Zieminski,sailing,POL,male,04/11/1990,25.8,1.83,82
Ilya Pervukhin,canoe,RUS,male,06/07/1991,25.1,1.83,82
Simon Razgor,handball,SLO,male,18/09/1985,30.9,1.83,82
Peter Gelle,canoe,SVK,male,23/08/1984,32,1.83,82
Kristian Karlsson,table tennis,SWE,male,06/08/1991,25,1.83,82
Dani Samuels,athletics,AUS,female,26/05/1988,28.2,1.82,82
Harold Houston,athletics,BER,male,23/03/1990,26.4,1.82,82
Jason Block,aquatics,CAN,male,28/12/1989,26.6,1.82,82
Manuel Strlek,handball,CRO,male,01/12/1988,27.7,1.82,82
Jonas Kaspar,canoe,CZE,male,08/10/1991,24.8,1.82,82
Michael Hansen,sailing,DEN,male,14/02/1990,26.5,1.82,82
Richard Kilty,athletics,GBR,male,02/09/1989,26.9,1.82,82
Aleixo-Platini Menga,athletics,GER,male,29/09/1987,28.9,1.82,82
Christian Diener,aquatics,GER,male,03/06/1993,23.2,1.82,82
Finn Lynch,sailing,IRL,male,23/04/1996,20.3,1.82,82
Andrea Toniato,aquatics,ITA,male,27/02/1991,25.5,1.82,82
Jose Costa,sailing,POR,male,26/01/1984,32.5,1.82,82
Timur Safin,fencing,RUS,male,04/08/1992,24,1.82,82
R.m. Sumeda Ranasinghe,athletics,SRI,male,10/02/1991,25.5,1.82,82
Jerry Tollbring,handball,SWE,male,13/09/1995,20.9,1.82,82
Radomyos Matjiur,aquatics,THA,male,02/04/1988,28.4,1.82,82
Chia Hsin Tsai,badminton,TPE,male,25/07/1982,34.1,1.82,82
Axel Werner,football,ARG,male,28/02/1996,20.4,1.81,82
Blake Blackburn,shooting,AUS,male,03/08/1992,24,1.81,82
Jeremy Hayward,hockey,AUS,male,03/03/1993,23.4,1.81,82
Jonas Crivella,aquatics,BRA,male,30/04/1988,28.3,1.81,82
Luiz Felipe Outerelo,aquatics,BRA,male,11/12/1991,24.7,1.81,82
Marco Grael,sailing,BRA,male,09/06/1989,27.2,1.81,82
Lee Parkhill,sailing,CAN,male,22/11/1988,27.7,1.81,82
Noe Delpech,sailing,FRA,male,22/02/1986,30.5,1.81,82
Mairaj Ahmad Khan,shooting,IND,male,02/11/1975,40.8,1.81,82
Atsuto Iida,aquatics,JPN,male,24/12/1993,22.6,1.81,82
David Fernandes,canoe,POR,male,08/09/1983,32.9,1.81,82
Keerati Bualong,sailing,THA,male,06/12/1992,23.7,1.81,82
Ameer Webb,athletics,USA,male,19/03/1991,25.4,1.81,82
Bautista Ezcurra,rugby sevens,ARG,male,21/04/1995,21.3,1.8,82
Casey Dumont,football,AUS,female,25/01/1992,24.5,1.8,82
Santiago Ramirez Morales,cycling,COL,male,20/07/1994,22.1,1.8,82
Teofilo Gutierrez,football,COL,male,17/05/1985,31.2,1.8,82
Pavle Kostov,sailing,CRO,male,28/09/1987,28.9,1.8,82
Petar Gorsa,shooting,CRO,male,11/01/1988,28.6,1.8,82
Idalys Ortiz,judo,CUB,female,27/09/1989,26.9,1.8,82
Thomas Simart,canoe,FRA,male,09/10/1987,28.8,1.8,82
Mark Gleghorne,hockey,GBR,male,19/05/1985,31.2,1.8,82
Matthew McGovern,sailing,IRL,male,20/09/1984,31.9,1.8,82
Nick Haig,hockey,NZL,male,12/03/1987,29.4,1.8,82
Rafal Augustyn,athletics,POL,male,14/05/1984,32.2,1.8,82
Sibusiso Matsenjwa,athletics,SWZ,male,02/05/1988,28.3,1.8,82
Witthaya Thamwong,archery,THA,male,18/09/1987,28.9,1.8,82
Hao-Wen Kao,archery,TPE,male,17/03/1995,21.4,1.8,82
Mohamed Ali Bhar,handball,TUN,male,17/09/1989,26.9,1.8,82
Glenn Turner,hockey,AUS,male,01/05/1984,32.3,1.79,82
Sam Welsford,cycling,AUS,male,19/01/1996,20.6,1.79,82
Ronald Rauhe,canoe,GER,male,03/10/1981,34.9,1.79,82
Jinyi Kim,handball,KOR,female,20/06/1993,23.1,1.79,82
Grzegorz Hedwig,canoe,POL,male,17/07/1988,28.1,1.79,82
Guillermo Duran,tennis,ARG,male,06/06/1988,28.2,1.78,82
Josip Glasnovic,shooting,CRO,male,07/05/1983,33.3,1.78,82
Philip Hindes,cycling,GBR,male,22/09/1992,23.9,1.78,82
Tamas Decsi,fencing,HUN,male,15/10/1982,33.8,1.78,82
Sa Rang Kim,badminton,KOR,male,22/08/1989,27,1.78,82
Dagnis Iljins,canoe,LAT,male,20/08/1992,24,1.78,82
Melissa Mojica,judo,PUR,female,29/12/1983,32.6,1.78,82
Nasser Al-Attiya,shooting,QAT,male,21/12/1970,45.7,1.78,82
Gonzalo Peillat,hockey,ARG,male,12/08/1992,24,1.77,82
Teruya Goto,rugby sevens,JPN,male,18/12/1991,24.6,1.77,82
Shea McALEESE,hockey,NZL,male,07/08/1984,32,1.77,82
Seabelo Senatla,rugby sevens,RSA,male,10/02/1993,23.5,1.77,82
Rudolf Knijnenburg,shooting,BOL,male,18/05/1982,34.2,1.76,82
Luis Brethauer,cycling,GER,male,14/09/1992,23.9,1.76,82
Saeid Mollaei,judo,IRI,male,05/01/1992,24.6,1.76,82
Kane Russell,hockey,NZL,male,22/04/1992,24.3,1.76,82
Peter Bacsi,wrestling,HUN,male,15/05/1983,33.2,1.75,82
Leander Paes,tennis,IND,male,17/06/1973,43.2,1.75,82
Yeongsin Nam,handball,KOR,female,27/08/1990,26,1.75,82
Uitumen Orgodol,wrestling,MGL,male,29/04/1989,27.3,1.75,82
James Stannard,rugby sevens,AUS,male,21/02/1983,33.5,1.73,82
Yann Candele,equestrian,CAN,male,11/03/1971,45.4,1.73,82
Barbara Bujka,aquatics,HUN,female,05/09/1986,29.9,1.72,82
Peter Elisa Henry,sailing,COK,male,14/08/1990,26,1.7,82
Alexandra Tavernier,athletics,FRA,female,13/12/1993,22.7,1.7,82
Lucilla Boari,archery,ITA,female,24/03/1997,19.4,1.62,82
Alejandra Betancur,rugby sevens,COL,female,13/06/1987,29.2,1.6,82
Nivaldo Nadhir Diaz Gomez,volleyball,CUB,male,24/03/1994,22.4,2,81
Martyn Rooney,athletics,GBR,male,03/04/1987,29.4,1.98,81
Patrick Dogue,modern pentathlon,GER,male,09/03/1992,24.4,1.97,81
Donald Blair-Sanford,athletics,ISR,male,05/02/1987,29.5,1.96,81
Wei-Ting Liu,taekwondo,TPE,male,06/01/1995,21.6,1.96,81
Taylor Phinney,cycling,USA,male,27/06/1990,26.1,1.96,81
Hidde Turkstra,hockey,NED,male,05/03/1988,28.4,1.94,81
Rafal Buszek,volleyball,POL,male,28/04/1987,29.3,1.94,81
Leandre Bouchard,cycling,CAN,male,20/10/1992,23.8,1.93,81
Elizabet Chavez,handball,ESP,female,17/11/1990,25.7,1.92,81
Donald Thomas,athletics,BAH,male,10/07/1984,32.1,1.91,81
Daniel Rezende Xavier,archery,BRA,male,31/08/1982,34,1.91,81
Tyler Sanders,volleyball,CAN,male,14/12/1991,24.7,1.91,81
Shun Wang,aquatics,CHN,male,11/02/1994,22.5,1.91,81
Mads Glaesner,aquatics,DEN,male,18/10/1988,27.8,1.91,81
Robert Grabarz,athletics,GBR,male,03/10/1987,28.9,1.91,81
Bubba Watson,golf,USA,male,05/11/1978,37.8,1.91,81
Travis Mahoney,aquatics,AUS,male,24/07/1990,26.1,1.9,81
Antoine Valois-Fortier,judo,CAN,male,13/03/1990,26.4,1.9,81
Harold Correa,athletics,FRA,male,26/06/1988,28.1,1.9,81
Michael Bultheel,athletics,BEL,male,30/06/1986,30.1,1.89,81
Kyle Edmund,tennis,GBR,male,08/01/1995,21.6,1.89,81
Dattu Baban Bhokanal,rowing,IND,male,05/04/1991,25.4,1.89,81
Mir Saeid Marouflakrani,volleyball,IRI,male,20/10/1985,30.8,1.89,81
Javier Rojas,rugby sevens,ARG,male,15/04/1991,25.3,1.88,81
Long Chen,badminton,CHN,male,18/01/1989,27.6,1.88,81
Jehue Gordon,athletics,TTO,male,15/12/1991,24.7,1.88,81
Alexander Massialas,fencing,USA,male,20/04/1994,22.3,1.88,81
Charlie Buckingham,sailing,USA,male,16/01/1989,27.6,1.88,81
Christian Taylor,athletics,USA,male,18/06/1990,26.2,1.88,81
Gil Roberts,athletics,USA,male,15/03/1989,27.4,1.88,81
Rachael Adams,volleyball,USA,female,03/06/1990,26.2,1.88,81
Walton Eller,shooting,USA,male,06/01/1982,34.6,1.88,81
Madeleine Edmunds,rowing,AUS,female,03/01/1992,24.6,1.87,81
Guangyuan Li,aquatics,CHN,male,27/02/1997,19.4,1.87,81
Lukas Fernandes,football,DEN,male,01/03/1993,23.4,1.87,81
Thomas Hagelskjar,football,DEN,male,04/02/1995,21.5,1.87,81
Mikko Ilonen,golf,FIN,male,18/12/1979,36.7,1.87,81
Luke Cutts,athletics,GBR,male,13/02/1988,28.5,1.87,81
Jose Carlos Herrera,athletics,MEX,male,05/02/1986,30.5,1.87,81
Adam Cwalina,badminton,POL,male,26/01/1985,31.5,1.87,81
Franco Sabato,rugby sevens,ARG,male,13/01/1990,26.6,1.86,81
Eoin Coughlan,judo,AUS,male,31/03/1992,24.4,1.86,81
Dominik Distelberger,athletics,AUT,male,16/03/1990,26.4,1.86,81
Luis Hurtado,football,COL,male,24/01/1994,22.5,1.86,81
Christian Peter Lubeck,sailing,DEN,male,23/04/1991,25.3,1.86,81
Steffen Deibler,aquatics,GER,male,10/07/1987,29.1,1.86,81
Jur Vrieling,equestrian,NED,male,31/07/1969,47,1.86,81
Anna Sen,handball,RUS,female,03/12/1990,25.7,1.86,81
Alexandre Haldemann,aquatics,SUI,male,08/03/1995,21.4,1.86,81
Fabian Cancellara,cycling,SUI,male,18/03/1981,35.4,1.86,81
Yannick Kaeser,aquatics,SUI,male,03/07/1992,24.1,1.86,81
Ashleigh Johnson,aquatics,USA,female,12/09/1994,21.9,1.86,81
Ashton Eaton,athletics,USA,male,21/01/1988,28.6,1.86,81
Carmen Farmer,rugby sevens,USA,female,04/12/1980,35.7,1.86,81
Perry Baker,rugby sevens,USA,male,29/06/1986,30.1,1.86,81
Tessa Gobbo,rowing,USA,female,08/12/1990,25.7,1.86,81
Ekaterina Karsten,rowing,BLR,female,02/06/1972,44.2,1.85,81
Matteo Marconcini,judo,ITA,male,26/08/1989,27,1.85,81
Tom Boon,hockey,BEL,male,25/01/1990,26.5,1.84,81
Harry Martin,hockey,GBR,male,23/10/1992,23.8,1.84,81
Simon Mantell,hockey,GBR,male,24/04/1984,32.3,1.84,81
Frank de Wit,judo,NED,male,13/02/1996,20.5,1.84,81
Jean-Julien Rojer,tennis,NED,male,25/08/1981,35,1.84,81
Sergei Komissarov,sailing,RUS,male,03/12/1987,28.7,1.84,81
Stevan Pletikosic,shooting,SRB,male,14/03/1972,44.4,1.84,81
Diego Botin Le Chever,sailing,ESP,male,25/12/1993,22.6,1.83,81
Tobias Hauke,hockey,GER,male,10/09/1987,28.9,1.83,81
Jhonathan Paz,football,HON,male,18/06/1995,21.1,1.83,81
Kevin Crovetto,gymnastics,MON,male,10/06/1992,24.2,1.83,81
Samson Samuel Opuakpo Forcados,aquatics,NGR,male,24/04/1986,30.3,1.83,81
Sam Meech,sailing,NZL,male,04/04/1991,25.4,1.83,81
Jakub Grigar,canoe,SVK,male,27/04/1997,19.3,1.83,81
Daniel Lowe,shooting,USA,male,18/11/1992,23.7,1.83,81
Kerry Simmonds,rowing,USA,female,03/04/1989,27.4,1.83,81
Shakhzodbek Sabirov,judo,UZB,male,29/05/1993,23.2,1.83,81
Klaus Lange,sailing,ARG,male,13/01/1995,21.6,1.82,81
Daniel Tihomirov Aleksandrov,wrestling,BUL,male,13/09/1991,24.9,1.82,81
Adam Froese,hockey,CAN,male,13/08/1991,25,1.82,81
Chijindu Ujah,athletics,GBR,male,05/03/1994,22.4,1.82,81
Liam Heath,canoe,GBR,male,17/08/1984,32,1.82,81
Antony Lozano,football,HON,male,25/04/1993,23.3,1.82,81
Khairulnizam Mohd Afendy,sailing,MAS,male,27/05/1993,23.2,1.82,81
Marcus Child,hockey,NZL,male,02/03/1991,25.4,1.82,81
Przemyslaw Wacha,badminton,POL,male,31/01/1981,35.5,1.82,81
Khasan Khalmurzaev,judo,RUS,male,09/10/1993,22.8,1.82,81
Umutcan Emektas,athletics,TUR,male,29/06/1991,25.1,1.82,81
Cedric Charlier,hockey,BEL,male,27/11/1987,28.7,1.81,81
Wannes van Laer,sailing,BEL,male,05/03/1985,31.4,1.81,81
Ashun Wu,golf,CHN,male,22/06/1985,31.1,1.81,81
Andres Renteria,football,COL,male,06/03/1993,23.4,1.81,81
Iago Lopez Marra,sailing,ESP,male,07/04/1990,26.3,1.81,81
David Pasqualucci,archery,ITA,male,27/06/1996,20.1,1.81,81
Takanori Nagase,judo,JPN,male,14/10/1993,22.8,1.81,81
Robin Pacek,judo,SWE,male,17/03/1991,25.4,1.81,81
Julio Alsogaray,sailing,ARG,male,11/04/1980,36.3,1.8,81
Bodi Turner,cycling,AUS,male,18/09/1994,21.9,1.8,81
Tom Burton,sailing,AUS,male,27/06/1990,26.1,1.8,81
Joachim Bottieau,judo,BEL,male,20/03/1989,27.4,1.8,81
Ivaylo Ivanov,judo,BUL,male,20/07/1994,22.1,1.8,81
Morales Silva,judo,CUB,male,08/02/1996,20.5,1.8,81
Kyle Evans,cycling,GBR,male,26/09/1993,22.9,1.8,81
Marlon Acacio,judo,MOZ,male,09/07/1982,34.1,1.8,81
Quadri Aruna,table tennis,NGR,male,09/08/1988,28,1.8,81
Nick Wilson,hockey,NZL,male,06/08/1990,26,1.8,81
Eric Alejandro,athletics,PUR,male,15/04/1986,30.3,1.8,81
Kirill Lyapunov,canoe,RUS,male,24/03/1986,30.4,1.8,81
Sergiu Toma,judo,UAE,male,29/01/1987,29.5,1.8,81
Illia Charheika,shooting,BLR,male,15/04/1993,23.3,1.79,81
Oluwasegun Makinde,athletics,CAN,male,06/07/1991,25.1,1.79,81
Cristobal Grez Ahrens,sailing,CHI,male,17/12/1987,28.7,1.79,81
Juan Diego Turcios,judo,ESA,male,22/09/1992,23.9,1.79,81
James Ellington,athletics,GBR,male,06/09/1985,30.9,1.79,81
Tonci Stipanovic,sailing,CRO,male,13/06/1986,30.2,1.78,81
Jason Kenny,cycling,GBR,male,23/03/1988,28.4,1.78,81
Nicola Ripamonti,canoe,ITA,male,11/01/1990,26.6,1.78,81
Tarasue Barnett,athletics,JAM,female,10/09/1993,22.9,1.78,81
Sohsuke Takatani,wrestling,JPN,male,05/04/1989,27.4,1.78,81
Seungsu Lee,judo,KOR,male,20/07/1990,26.1,1.78,81
Khalid El Aabidi,weightlifting,MAR,male,14/09/1995,20.9,1.78,81
Uuganbaatar Otgonbaatar,judo,MGL,male,19/02/1988,28.5,1.78,81
Fernando Pimenta,canoe,POR,male,13/08/1989,27,1.78,81
Pavel Eigel,canoe,RUS,male,01/03/1990,26.4,1.78,81
Andrew Thomas Bisek,wrestling,USA,male,18/08/1986,30,1.78,81
Tom Pelsmaekers,sailing,BEL,male,26/01/1993,23.5,1.77,81
Loic Pietri,judo,FRA,male,27/08/1990,26,1.77,81
Andreas Loew,shooting,GER,male,19/01/1982,34.6,1.77,81
Roman Moustopoulos,judo,GRE,male,02/03/1993,23.4,1.77,81
Robel Kiros Habte,aquatics,ETH,male,13/04/1992,24.3,1.76,81
Gurpreet Singh,shooting,IND,male,19/12/1987,28.6,1.76,81
Shengbo Zhao,shooting,CHN,male,14/04/1982,34.3,1.75,81
Mohamed Abdelaal,judo,EGY,male,23/07/1990,26.1,1.75,81
Josateki Naulu,judo,FIJ,male,08/06/1984,32.2,1.75,81
Jessica Inchude,athletics,GBS,female,25/03/1996,20.4,1.75,81
Rusheen McDonald,athletics,JAM,male,17/08/1992,24,1.75,81
Valeriu Duminica,judo,MDA,male,08/04/1987,29.3,1.75,81
Rafal Sarnecki,cycling,POL,male,08/01/1990,26.6,1.75,81
Victor Penalber,judo,BRA,male,22/05/1990,26.2,1.74,81
Ahmed Ragab,sailing,EGY,male,29/09/1991,24.9,1.74,81
Jerry Tuwai,rugby sevens,FIJ,male,23/03/1989,27.4,1.74,81
Rosko Specman,rugby sevens,RSA,male,28/04/1989,27.3,1.74,81
Emmanuel Lucenti,judo,ARG,male,23/11/1984,31.7,1.73,81
Dagmara Wozniak,fencing,USA,female,01/07/1988,28.1,1.73,81
Vatemo Ravouvou,rugby sevens,FIJ,male,31/07/1990,26,1.71,81
Chiara Cainero,shooting,ITA,female,24/03/1978,38.4,1.71,81
Crispin Duenas,archery,CAN,male,05/01/1986,30.6,1.7,81
